STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00200230,"ANN ARBOR U OF MICH, MI US",6/15/2022,0,94,61
USC00200230,"ANN ARBOR U OF MICH, MI US",6/16/2022,0.35,91,71
USC00200230,"ANN ARBOR U OF MICH, MI US",6/17/2022,0,87,63
USC00200230,"ANN ARBOR U OF MICH, MI US",6/18/2022,0,78,46
USC00200230,"ANN ARBOR U OF MICH, MI US",6/19/2022,0,78,42
USC00200230,"ANN ARBOR U OF MICH, MI US",6/20/2022,0.06,85,58
USC00200230,"ANN ARBOR U OF MICH, MI US",6/21/2022,0,94,54
USC00200230,"ANN ARBOR U OF MICH, MI US",6/22/2022,0,91,68
USC00200230,"ANN ARBOR U OF MICH, MI US",6/23/2022,0,84,54
USC00200230,"ANN ARBOR U OF MICH, MI US",6/24/2022,0,87,51
USC00200230,"ANN ARBOR U OF MICH, MI US",6/25/2022,0,88,56
USC00200230,"ANN ARBOR U OF MICH, MI US",6/26/2022,0.06,85,66
USC00200230,"ANN ARBOR U OF MICH, MI US",6/27/2022,0,80,55
USC00200230,"ANN ARBOR U OF MICH, MI US",6/28/2022,0,80,42
USC00200230,"ANN ARBOR U OF MICH, MI US",6/29/2022,0,82,52
USC00200230,"ANN ARBOR U OF MICH, MI US",6/30/2022,0,89,56
USC00200230,"ANN ARBOR U OF MICH, MI US",7/1/2022,0.18,86,57
USC00200230,"ANN ARBOR U OF MICH, MI US",7/2/2022,0.01,83,49
USC00200230,"ANN ARBOR U OF MICH, MI US",7/3/2022,0,85,54
USC00200230,"ANN ARBOR U OF MICH, MI US",7/4/2022,0,89,56
USC00200230,"ANN ARBOR U OF MICH, MI US",7/5/2022,0.33,88,66
USC00200230,"ANN ARBOR U OF MICH, MI US",7/6/2022,0.27,86,66
USC00200230,"ANN ARBOR U OF MICH, MI US",7/7/2022,0,84,55
USC00200230,"ANN ARBOR U OF MICH, MI US",7/8/2022,0.95,84,63
USC00200230,"ANN ARBOR U OF MICH, MI US",7/9/2022,0.03,80,50
USC00200230,"ANN ARBOR U OF MICH, MI US",7/10/2022,0,82,47
USC00200230,"ANN ARBOR U OF MICH, MI US",7/11/2022,0,84,54
USC00200230,"ANN ARBOR U OF MICH, MI US",7/12/2022,0.02,81,64
USC00200230,"ANN ARBOR U OF MICH, MI US",7/13/2022,0.25,79,55
USC00200230,"ANN ARBOR U OF MICH, MI US",7/14/2022,0,80,53
USC00200230,"ANN ARBOR U OF MICH, MI US",7/15/2022,0,81,51
USC00200230,"ANN ARBOR U OF MICH, MI US",7/16/2022,0.13,82,62
USC00200230,"ANN ARBOR U OF MICH, MI US",7/17/2022,0,80,63
USC00200230,"ANN ARBOR U OF MICH, MI US",7/18/2022,0.02,87,67
USC00200230,"ANN ARBOR U OF MICH, MI US",7/19/2022,0,91,64
USC00200230,"ANN ARBOR U OF MICH, MI US",7/20/2022,0.21,90,67
USC00200230,"ANN ARBOR U OF MICH, MI US",7/21/2022,0,88,69
USC00200230,"ANN ARBOR U OF MICH, MI US",7/22/2022,0.05,88,65
USC00200230,"ANN ARBOR U OF MICH, MI US",7/23/2022,0.04,87,66
USC00200230,"ANN ARBOR U OF MICH, MI US",7/24/2022,0.42,86,67
USC00200230,"ANN ARBOR U OF MICH, MI US",7/25/2022,0,80,60
USC00200230,"ANN ARBOR U OF MICH, MI US",7/26/2022,0,82,54
USC00200230,"ANN ARBOR U OF MICH, MI US",7/27/2022,0.03,83,57
USC00200230,"ANN ARBOR U OF MICH, MI US",7/28/2022,0,83,63
USC00200230,"ANN ARBOR U OF MICH, MI US",7/29/2022,0,81,54
USC00200230,"ANN ARBOR U OF MICH, MI US",7/30/2022,0,84,53
USC00200230,"ANN ARBOR U OF MICH, MI US",7/31/2022,0,85,56
USC00200230,"ANN ARBOR U OF MICH, MI US",8/1/2022,0,87,59
USC00200230,"ANN ARBOR U OF MICH, MI US",8/2/2022,0,84,62
USC00200230,"ANN ARBOR U OF MICH, MI US",8/3/2022,0.07,93,62
USC00200230,"ANN ARBOR U OF MICH, MI US",8/4/2022,0.52,83,69
USC00200230,"ANN ARBOR U OF MICH, MI US",8/5/2022,1.1,87,67
USC00200230,"ANN ARBOR U OF MICH, MI US",8/6/2022,0,89,67
USC00200230,"ANN ARBOR U OF MICH, MI US",8/7/2022,0,91,67
USC00200230,"ANN ARBOR U OF MICH, MI US",8/8/2022,0.24,88,71
USC00200230,"ANN ARBOR U OF MICH, MI US",8/9/2022,0,83,63
USC00200230,"ANN ARBOR U OF MICH, MI US",8/10/2022,0,81,55
USC00200230,"ANN ARBOR U OF MICH, MI US",8/11/2022,0,80,62
USC00200230,"ANN ARBOR U OF MICH, MI US",8/12/2022,0,80,46
USC00200230,"ANN ARBOR U OF MICH, MI US",8/13/2022,0.02,75,52
USC00200230,"ANN ARBOR U OF MICH, MI US",8/14/2022,0.04,71,58
USC00200230,"ANN ARBOR U OF MICH, MI US",8/15/2022,0,82,59
USC00200230,"ANN ARBOR U OF MICH, MI US",8/16/2022,0,83,54
USC00200230,"ANN ARBOR U OF MICH, MI US",8/17/2022,0.13,81,52
USC00200230,"ANN ARBOR U OF MICH, MI US",8/18/2022,0,84,53
USC00200230,"ANN ARBOR U OF MICH, MI US",8/19/2022,0.01,85,52
USC00200230,"ANN ARBOR U OF MICH, MI US",8/20/2022,0.03,83,57
USC00200230,"ANN ARBOR U OF MICH, MI US",8/21/2022,1.64,80,62
USC00200230,"ANN ARBOR U OF MICH, MI US",8/22/2022,0,80,61
USC00200230,"ANN ARBOR U OF MICH, MI US",8/23/2022,0,82,57
USC00200230,"ANN ARBOR U OF MICH, MI US",8/24/2022,0,86,56
USC00200230,"ANN ARBOR U OF MICH, MI US",8/25/2022,0,83,57
USC00200230,"ANN ARBOR U OF MICH, MI US",8/26/2022,0.01,77,65
USC00200230,"ANN ARBOR U OF MICH, MI US",8/27/2022,0,81,50
USC00200230,"ANN ARBOR U OF MICH, MI US",8/28/2022,0,85,52
USC00200230,"ANN ARBOR U OF MICH, MI US",8/29/2022,0.42,87,68
USC00200230,"ANN ARBOR U OF MICH, MI US",8/30/2022,0.05,79,65
USC00200230,"ANN ARBOR U OF MICH, MI US",8/31/2022,0,81,57
USC00200230,"ANN ARBOR U OF MICH, MI US",9/1/2022,0,85,55
USC00200230,"ANN ARBOR U OF MICH, MI US",9/2/2022,0,86,57
USC00200230,"ANN ARBOR U OF MICH, MI US",9/3/2022,0,87,59
USC00200230,"ANN ARBOR U OF MICH, MI US",9/4/2022,0.02,83,66
USC00200230,"ANN ARBOR U OF MICH, MI US",9/5/2022,0,74,61
USC00200230,"ANN ARBOR U OF MICH, MI US",9/6/2022,0,78,63
USC00200230,"ANN ARBOR U OF MICH, MI US",9/7/2022,0,78,49
USC00200230,"ANN ARBOR U OF MICH, MI US",9/8/2022,0,83,46
USC00200230,"ANN ARBOR U OF MICH, MI US",9/9/2022,0,84,46
USC00200230,"ANN ARBOR U OF MICH, MI US",9/10/2022,0,86,56
USC00200230,"ANN ARBOR U OF MICH, MI US",9/11/2022,0.13,79,64
USC00200230,"ANN ARBOR U OF MICH, MI US",9/12/2022,0.61,70,57
USC00200230,"ANN ARBOR U OF MICH, MI US",9/13/2022,0,74,48
USC00200230,"ANN ARBOR U OF MICH, MI US",9/14/2022,0,81,54
USC00200230,"ANN ARBOR U OF MICH, MI US",9/15/2022,0,77,51
USC00200230,"ANN ARBOR U OF MICH, MI US",9/16/2022,0,81,50
USC00200230,"ANN ARBOR U OF MICH, MI US",9/17/2022,0,84,51
USC00200230,"ANN ARBOR U OF MICH, MI US",9/18/2022,0,84,62
USC00200230,"ANN ARBOR U OF MICH, MI US",9/19/2022,0.16,81,61
USC00200230,"ANN ARBOR U OF MICH, MI US",9/20/2022,0.01,78,50
USC00200230,"ANN ARBOR U OF MICH, MI US",9/21/2022,0.64,86,60
USC00200230,"ANN ARBOR U OF MICH, MI US",9/22/2022,0,80,52
USC00200230,"ANN ARBOR U OF MICH, MI US",9/23/2022,0,65,38
USC00200230,"ANN ARBOR U OF MICH, MI US",9/24/2022,0.04,68,45
USC00200230,"ANN ARBOR U OF MICH, MI US",9/25/2022,0.45,64,54
USC00200230,"ANN ARBOR U OF MICH, MI US",9/26/2022,0.06,60,49
USC00200230,"ANN ARBOR U OF MICH, MI US",9/27/2022,0.02,61,46
USC00200230,"ANN ARBOR U OF MICH, MI US",9/28/2022,0,58,47
USC00200230,"ANN ARBOR U OF MICH, MI US",9/29/2022,0,61,40
USC00200230,"ANN ARBOR U OF MICH, MI US",9/30/2022,0,67,33
USC00200230,"ANN ARBOR U OF MICH, MI US",10/1/2022,0,70,39
USC00200230,"ANN ARBOR U OF MICH, MI US",10/2/2022,0,66,52
USC00200230,"ANN ARBOR U OF MICH, MI US",10/3/2022,0,67,32
USC00200230,"ANN ARBOR U OF MICH, MI US",10/4/2022,0,72,33
USC00200230,"ANN ARBOR U OF MICH, MI US",10/5/2022,0,76,40
USC00200230,"ANN ARBOR U OF MICH, MI US",10/6/2022,0,75,46
USC00200230,"ANN ARBOR U OF MICH, MI US",10/7/2022,0.02,67,42
USC00200230,"ANN ARBOR U OF MICH, MI US",10/8/2022,0,56,27
USC00200230,"ANN ARBOR U OF MICH, MI US",10/9/2022,0,67,32
USC00200230,"ANN ARBOR U OF MICH, MI US",10/10/2022,0.02,69,39
USC00200230,"ANN ARBOR U OF MICH, MI US",10/11/2022,0,75,38
USC00200230,"ANN ARBOR U OF MICH, MI US",10/12/2022,0.06,71,54
USC00200230,"ANN ARBOR U OF MICH, MI US",10/13/2022,0.19,67,44
USC00200230,"ANN ARBOR U OF MICH, MI US",10/14/2022,0.01,60,29
USC00200230,"ANN ARBOR U OF MICH, MI US",10/15/2022,0.06,55,40
