STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00200230,"ANN ARBOR U OF MICH, MI US",8/25/22,0,83,57
USC00200230,"ANN ARBOR U OF MICH, MI US",8/26/22,0.01,77,65
USC00200230,"ANN ARBOR U OF MICH, MI US",8/27/22,0,81,50
USC00200230,"ANN ARBOR U OF MICH, MI US",8/28/22,0,85,52
USC00200230,"ANN ARBOR U OF MICH, MI US",8/29/22,0.42,87,68
USC00200230,"ANN ARBOR U OF MICH, MI US",8/30/22,0.05,79,65
USC00200230,"ANN ARBOR U OF MICH, MI US",8/31/22,0,81,57
USC00200230,"ANN ARBOR U OF MICH, MI US",9/1/22,0,85,55
USC00200230,"ANN ARBOR U OF MICH, MI US",9/2/22,0,86,57
USC00200230,"ANN ARBOR U OF MICH, MI US",9/3/22,0,87,59
USC00200230,"ANN ARBOR U OF MICH, MI US",9/4/22,0.02,83,66
USC00200230,"ANN ARBOR U OF MICH, MI US",9/5/22,0,74,61
USC00200230,"ANN ARBOR U OF MICH, MI US",9/6/22,0,78,63
USC00200230,"ANN ARBOR U OF MICH, MI US",9/7/22,0,78,49
USC00200230,"ANN ARBOR U OF MICH, MI US",9/8/22,0,83,46
USC00200230,"ANN ARBOR U OF MICH, MI US",9/9/22,0,84,46
USC00200230,"ANN ARBOR U OF MICH, MI US",9/10/22,0,86,56
USC00200230,"ANN ARBOR U OF MICH, MI US",9/11/22,0.13,79,64
USC00200230,"ANN ARBOR U OF MICH, MI US",9/12/22,0.61,70,57
USC00200230,"ANN ARBOR U OF MICH, MI US",9/13/22,0,74,48
USC00200230,"ANN ARBOR U OF MICH, MI US",9/14/22,0,81,54
USC00200230,"ANN ARBOR U OF MICH, MI US",9/15/22,0,77,51
USC00200230,"ANN ARBOR U OF MICH, MI US",9/16/22,0,81,50
USC00200230,"ANN ARBOR U OF MICH, MI US",9/17/22,0,84,51
USC00200230,"ANN ARBOR U OF MICH, MI US",9/18/22,0,84,62
USC00200230,"ANN ARBOR U OF MICH, MI US",9/19/22,0.16,81,61
USC00200230,"ANN ARBOR U OF MICH, MI US",9/20/22,0.01,78,50
USC00200230,"ANN ARBOR U OF MICH, MI US",9/21/22,0.64,86,60
USC00200230,"ANN ARBOR U OF MICH, MI US",9/22/22,0,80,52
USC00200230,"ANN ARBOR U OF MICH, MI US",9/23/22,0,65,38
USC00200230,"ANN ARBOR U OF MICH, MI US",9/24/22,0.04,68,45
USC00200230,"ANN ARBOR U OF MICH, MI US",9/25/22,0.45,64,54
USC00200230,"ANN ARBOR U OF MICH, MI US",9/26/22,0.06,60,49
USC00200230,"ANN ARBOR U OF MICH, MI US",9/27/22,0.02,61,46
USC00200230,"ANN ARBOR U OF MICH, MI US",9/28/22,0,58,47
USC00200230,"ANN ARBOR U OF MICH, MI US",9/29/22,0,61,40
USC00200230,"ANN ARBOR U OF MICH, MI US",9/30/22,0,67,33
USC00200230,"ANN ARBOR U OF MICH, MI US",10/1/22,0,70,39
USC00200230,"ANN ARBOR U OF MICH, MI US",10/2/22,0,66,52
USC00200230,"ANN ARBOR U OF MICH, MI US",10/3/22,0,67,32
USC00200230,"ANN ARBOR U OF MICH, MI US",10/4/22,0,72,33
USC00200230,"ANN ARBOR U OF MICH, MI US",10/5/22,0,76,40
USC00200230,"ANN ARBOR U OF MICH, MI US",10/6/22,0,75,46
USC00200230,"ANN ARBOR U OF MICH, MI US",10/7/22,0.02,67,42
USC00200230,"ANN ARBOR U OF MICH, MI US",10/8/22,0,56,27
USC00200230,"ANN ARBOR U OF MICH, MI US",10/9/22,0,67,32
USC00200230,"ANN ARBOR U OF MICH, MI US",10/10/22,0.02,69,39
USC00200230,"ANN ARBOR U OF MICH, MI US",10/11/22,0,75,38
USC00200230,"ANN ARBOR U OF MICH, MI US",10/12/22,0.06,71,54
USC00200230,"ANN ARBOR U OF MICH, MI US",10/13/22,0.19,67,44
USC00200230,"ANN ARBOR U OF MICH, MI US",10/14/22,0.01,60,29
USC00200230,"ANN ARBOR U OF MICH, MI US",10/15/22,0.06,55,40
USC00200230,"ANN ARBOR U OF MICH, MI US",10/16/22,0,60,29
USC00200230,"ANN ARBOR U OF MICH, MI US",10/17/22,0.11,53,38
USC00200230,"ANN ARBOR U OF MICH, MI US",10/18/22,0.13,41,37
USC00200230,"ANN ARBOR U OF MICH, MI US",10/19/22,0.14,47,37
USC00200230,"ANN ARBOR U OF MICH, MI US",10/20/22,0.06,44,33
USC00200230,"ANN ARBOR U OF MICH, MI US",10/21/22,0,69,26
