"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00202015","DEARBORN, MI US","2022-06-01","0.00","0.0","0.0","90","70","75"
"USC00202015","DEARBORN, MI US","2022-06-02","0.39","0.0","0.0","81","55","55"
"USC00202015","DEARBORN, MI US","2022-06-03","0.01","0.0","0.0","75","51","62"
"USC00202015","DEARBORN, MI US","2022-06-04","0.00","0.0","0.0","80","48","58"
"USC00202015","DEARBORN, MI US","2022-06-05","0.00","0.0","0.0","73","57","64"
"USC00202015","DEARBORN, MI US","2022-06-06","0.00","0.0","0.0","73","56","70"
"USC00202015","DEARBORN, MI US","2022-06-07","1.59","0.0","0.0","79","64","66"
"USC00202015","DEARBORN, MI US","2022-06-08","0.00","0.0","0.0","72","51","64"
"USC00202015","DEARBORN, MI US","2022-06-09","0.79","0.0","0.0","71","52","59"
"USC00202015","DEARBORN, MI US","2022-06-10","0.01","0.0","0.0","74","51","65"
"USC00202015","DEARBORN, MI US","2022-06-11","0.04","0.0","0.0","76","56","67"
"USC00202015","DEARBORN, MI US","2022-06-12","0.00","0.0","0.0","78","65","72"
"USC00202015","DEARBORN, MI US","2022-06-13","0.00","0.0","0.0","83","58","69"
"USC00202015","DEARBORN, MI US","2022-06-14","0.23","0.0","0.0","82","62","66"
"USC00202015","DEARBORN, MI US","2022-06-15","0.00","0.0","0.0","83","65","79"
"USC00202015","DEARBORN, MI US","2022-06-16","0.10","0.0","0.0","94","75","76"
"USC00202015","DEARBORN, MI US","2022-06-17","0.00","0.0","0.0","90","68","74"
"USC00202015","DEARBORN, MI US","2022-06-18","0.00","0.0","0.0","82","51","61"
"USC00202015","DEARBORN, MI US","2022-06-19","0.00","0.0","0.0",,"47",
"USC00202015","DEARBORN, MI US","2022-06-20","0.04","0.0","0.0","78","61","63"
"USC00202015","DEARBORN, MI US","2022-06-21","0.00","0.0","0.0","84","61","73"
"USC00202015","DEARBORN, MI US","2022-06-22","0.00","0.0","0.0","95","73","83"
"USC00202015","DEARBORN, MI US","2022-06-23","0.00","0.0","0.0","90","56","68"
"USC00202015","DEARBORN, MI US","2022-06-24","0.00","0.0","0.0","83","56","72"
"USC00202015","DEARBORN, MI US","2022-06-25","0.00","0.0","0.0","88","63","73"
"USC00202015","DEARBORN, MI US","2022-06-26","0.05","0.0","0.0","89","67","71"
"USC00202015","DEARBORN, MI US","2022-06-27","0.00","0.0","0.0","85","58","65"
"USC00202015","DEARBORN, MI US","2022-06-28","0.00","0.0","0.0","75","49","63"
"USC00202015","DEARBORN, MI US","2022-06-29","0.00","0.0","0.0","81","61","62"
"USC00202015","DEARBORN, MI US","2022-06-30","0.06","0.0","0.0","80","61","73"
"USC00202015","DEARBORN, MI US","2022-07-01","0.00","0.0","0.0","90","68","76"
"USC00202015","DEARBORN, MI US","2022-07-02","0.15","0.0","0.0","86","64","68"
"USC00202015","DEARBORN, MI US","2022-07-03","0.00","0.0","0.0","84","59","67"
"USC00202015","DEARBORN, MI US","2022-07-04","0.00","0.0","0.0","85","62","76"
"USC00202015","DEARBORN, MI US","2022-07-05","0.47","0.0","0.0","90","68","72"
"USC00202015","DEARBORN, MI US","2022-07-06","0.01","0.0","0.0","88","69","69"
"USC00202015","DEARBORN, MI US","2022-07-07","0.21","0.0","0.0","76","57","66"
"USC00202015","DEARBORN, MI US","2022-07-08","0.00","0.0","0.0","84","66","76"
"USC00202015","DEARBORN, MI US","2022-07-09","0.14","0.0","0.0","83","59","66"
"USC00202015","DEARBORN, MI US","2022-07-10","0.00","0.0","0.0","82","53","70"
"USC00202015","DEARBORN, MI US","2022-07-11","0.00","0.0","0.0","83","58","70"
"USC00202015","DEARBORN, MI US","2022-07-12","0.00","0.0","0.0","86","68","72"
"USC00202015","DEARBORN, MI US","2022-07-13","0.00","0.0","0.0","84","60","66"
"USC00202015","DEARBORN, MI US","2022-07-14","0.18","0.0","0.0","75","57","68"
"USC00202015","DEARBORN, MI US","2022-07-15","0.00","0.0","0.0","81","57","70"
"USC00202015","DEARBORN, MI US","2022-07-16","0.02","0.0","0.0","82","65","70"
"USC00202015","DEARBORN, MI US","2022-07-17","0.00","0.0","0.0","82","66","71"
"USC00202015","DEARBORN, MI US","2022-07-18","0.06","0.0","0.0","78","68","71"
"USC00202015","DEARBORN, MI US","2022-07-19","0.00","0.0","0.0","89","65","76"
"USC00202015","DEARBORN, MI US","2022-07-20","0.01","0.0","0.0","94","73","76"
"USC00202015","DEARBORN, MI US","2022-07-21","0.00","0.0","0.0","91","70","76"
"USC00202015","DEARBORN, MI US","2022-07-22","0.16","0.0","0.0","92","67","74"
"USC00202015","DEARBORN, MI US","2022-07-23","0.03","0.0","0.0","91","70","70"
"USC00202015","DEARBORN, MI US","2022-07-24","0.40","0.0","0.0","88","70","73"
"USC00202015","DEARBORN, MI US","2022-07-25","0.01","0.0","0.0","92","68","74"
"USC00202015","DEARBORN, MI US","2022-07-26","0.00","0.0","0.0","81","63","70"
"USC00202015","DEARBORN, MI US","2022-07-27","0.00","0.0","0.0","84","66","72"
"USC00202015","DEARBORN, MI US","2022-07-28","0.03","0.0","0.0","85","70","75"
"USC00202015","DEARBORN, MI US","2022-07-29","0.00","0.0","0.0","84","60","69"
"USC00202015","DEARBORN, MI US","2022-07-30","0.00","0.0","0.0","83","59","68"
